Cluster NumberAM{HH1}AM,Household NumberAM{HH2}AM,parishAM{HH1A}AM,constituencyAM{HH1B}AM,enumeration districtAM{HH1C}AM,dwelling numberAM{HH2A}AM,household numberAM{HH2B}AM,Interviewer numberAM{HH3}AM,Supervisor NumberAM{HH4}AM,Day of interviewAM{HH5D}AM,Month of interviewAM{HH5M}AM,Year of interviewAM{HH5Y}AM,AreaAM{HH6}AM,Result of HH interviewAM{HH9}AM,Respondent HH questionnaireAM{HH10}AM,Number of household membersAM{HH11}AM,Total eligible womenAM{HH12}AM,Women interviews completedAM{HH13}AM,Total children under 5AM{HH14}AM,Child interviews completedAM{HH15}AM,Data entry clerkAM{HH16}AM,Serial NumberAM{HHS}AM,Total number of Women 15-49AM{TOHL6}AM,Total number of Children 5-14AM{TOHL7}AM,Total number of children Under 5 yearsAM{TOHL8}AM,Total number of Very SickAM{TOHL8A}AM,Total number of mothers deadAM{TOHL9}AM,Total number of mothers very sickAM{TOHL10A}AM,Total number of father deadAM{TOHL11}AM,Total number of fathers very sickAM{TOHL12A}AM,Main source info.AM{HL13}AM,Distance to Health centreAM{HL14}AM,Main source of drinking waterAM{WS1}AM,Main source of water used for other purposes (if bottled watAM{WS2}AM,Time to get water and come backAM{WS3}AM,Person fetching waterAM{WS4}AM,How Frequently is water availableAM{WS4A}AM,Treat water to make safer for drinkingAM{WS5}AM,BoilAM{WS6A}AM,Add bleach/chlorineAM{WS6B}AM,Strain it through a clothAM{WS6C}AM,Use water filterAM{WS6D}AM,Solar disinfectionAM{WS6E}AM,Let it stand and settleAM{WS6F}AM,OtherAM{WS6X}AM,WS6ZAM{WS6Z}AM,Kind of toilet facilityAM{WS7}AM,Toilet facility sharedAM{WS8}AM,Households using this toilet facilityAM{WS9}AM,Distance to nearest Primary SchoolAM{ED9}AM,Distance to nearest Secondary SchoolAM{ED10}AM,Have any usual member of your household died  in the last 12AM{OV2}AM,Of those who died is there any one between the ages of 18 anAM{OV3}AM,"If yes ,were any seriously ill for 3 of  the 12 months beforAM{OV4}AM",Total children aged 2-14 yearsAM{CD7}AM,Rank number of child (from response box)AM{CD9}AM,Child line numberAM{CD11}AM,Took away privilegesAM{CD12A}AM,Explaned why something was wrongAM{CD12B}AM,Shook him/herAM{CD12C}AM,Shouted yelled at or screamed at him/herAM{CD12D}AM,Gave him/hersomething else to doAM{CD12E}AM,"Spanked, hit or slapped him/her with bare handAM{CD12F}AM",Hit him/her   on the bottom with or elsewhere with a beltAM{CD12G}AM,"Called him/her dumb, lazyAM{CD12H}AM",Hit or slapped him/her on the faceAM{CD12I}AM,Hit or slapped him/her on the handAM{CD12J}AM,Beat him/her up with an implementAM{CD12K}AM,Did name ever require medical attentionAM{CD12L}AM,Do you believe to bring up you nedd to punish him/herAM{CD13}AM,Household weightAM{hhweight}AM,Education of household headAM{helevel}AM,Sex of household headAM{hhsex}AM,TOTAL URBANAM{TOTURB}AM
101011.0,7001.0,1.0,1.0,11.0,70.0,1.0,2727.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,Yes,6.0,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Primary,Male,TOTAL URBAN
101011.0,7501.0,1.0,1.0,11.0,75.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into dwelling,,,,MOST TIMES,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Secondary,Female,TOTAL URBAN
101011.0,8101.0,1.0,1.0,11.0,81.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,2.0,0.0,0.0,0.0,0.0,3.0,5839.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,2.0,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,0.727543,Secondary,Male,TOTAL URBAN
101011.0,8901.0,1.0,1.0,11.0,89.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Not at home,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101011.0,9401.0,1.0,1.0,11.0,94.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Not at home,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101011.0,10401.0,1.0,1.0,11.0,104.0,1.0,2727.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,4.0,1.0,1.0,0.0,0.0,3.0,4229.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to septic tank,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,1.0,3.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,0.727543,Secondary,Male,TOTAL URBAN
101011.0,10701.0,1.0,1.0,11.0,107.0,1.0,2727.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to septic tank,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Primary,Female,TOTAL URBAN
101011.0,11401.0,1.0,1.0,11.0,114.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,5.0,0.0,0.0,0.0,0.0,3.0,5842.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,2.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,0.727543,Primary,Female,TOTAL URBAN
101038.0,201.0,1.0,1.0,38.0,2.0,1.0,2727.0,124.0,20.0,11.0,2005.0,KMA,Completed,1.0,2.0,0.0,0.0,0.0,0.0,3.0,6476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to septic tank,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Secondary,Female,TOTAL URBAN
101038.0,1101.0,1.0,1.0,38.0,11.0,1.0,2727.0,124.0,20.0,11.0,2005.0,KMA,Completed,1.0,3.0,1.0,1.0,0.0,0.0,3.0,4718.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,Yes,Boil,Add bleach/chlorine,,,,,,,Flush to septic tank,Yes,3.0,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,0.727543,Secondary,Female,TOTAL URBAN
101038.0,2001.0,1.0,1.0,38.0,20.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Refused,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101038.0,3001.0,1.0,1.0,38.0,30.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Completed,1.0,3.0,2.0,0.0,0.0,0.0,3.0,4711.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,,Add bleach/chlorine,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Primary,Female,TOTAL URBAN
101038.0,3901.0,1.0,1.0,38.0,39.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Vacant,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101038.0,4801.0,1.0,1.0,38.0,48.0,1.0,2727.0,124.0,20.0,11.0,2005.0,KMA,Completed,1.0,4.0,1.0,1.0,0.0,0.0,3.0,6478.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,Yes,Boil,Add bleach/chlorine,,,,,,,Flush to septic tank,Yes,2.0,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,2.0,4.0,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,0.727543,Secondary,Male,TOTAL URBAN
101038.0,5901.0,1.0,1.0,38.0,59.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Not at home,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101038.0,6601.0,1.0,1.0,38.0,66.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Not at home,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101038.0,7501.0,1.0,1.0,38.0,75.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Not at home,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101038.0,8501.0,1.0,1.0,38.0,85.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Refused,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101038.0,9401.0,1.0,1.0,38.0,94.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Refused,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101038.0,10501.0,1.0,1.0,38.0,105.0,1.0,2727.0,124.0,20.0,11.0,2005.0,KMA,Completed,1.0,3.0,1.0,1.0,1.0,1.0,3.0,6477.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,Yes,4.0,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,3.0,No,Yes,Yes,Yes,No,Yes,Yes,No,Missing,No,No,No,No,0.727543,Secondary,Female,TOTAL URBAN
101038.0,11201.0,1.0,1.0,38.0,112.0,1.0,2727.0,124.0,20.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to septic tank,Yes,2.0,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Non-standard curriculum,Male,TOTAL URBAN
101038.0,12101.0,1.0,1.0,38.0,121.0,1.0,2727.0,124.0,16.0,11.0,2005.0,KMA,Completed,2.0,2.0,0.0,0.0,0.0,0.0,3.0,4719.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into dwelling,,,,MOST TIMES,Yes,Boil,Add bleach/chlorine,,,,,,,Flush to septic tank,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Non-standard curriculum,Male,TOTAL URBAN
101038.0,13101.0,1.0,1.0,38.0,131.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Refused,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101038.0,14001.0,1.0,1.0,38.0,140.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Refused,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101038.0,14901.0,1.0,1.0,38.0,149.0,1.0,2727.0,124.0,20.0,11.0,2005.0,KMA,Completed,1.0,4.0,0.0,0.0,1.0,1.0,3.0,6482.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,Add bleach/chlorine,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,2.0,4.0,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,0.727543,Primary,Female,TOTAL URBAN
101038.0,15801.0,1.0,1.0,38.0,158.0,1.0,2727.0,124.0,22.0,11.0,2005.0,KMA,Completed,1.0,7.0,2.0,2.0,0.0,0.0,3.0,6475.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to septic tank,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,1.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0.727543,Secondary,Female,TOTAL URBAN
101044.0,101.0,1.0,1.0,44.0,1.0,1.0,2942.0,124.0,23.0,10.0,2005.0,KMA,Refused,,,,,,,1.0,6710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101044.0,501.0,1.0,1.0,44.0,5.0,1.0,2942.0,124.0,23.0,10.0,2005.0,KMA,Completed,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3275.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,No,,,,,,,,,Flush to absorption pit,Yes,2.0,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,1.0,2.0,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,0.727543,Secondary,Female,TOTAL URBAN
101044.0,1101.0,1.0,1.0,44.0,11.0,1.0,2942.0,124.0,9.0,11.0,2005.0,KMA,Unable to enter due to violence / threats,,,,,,,1.0,6711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101044.0,1501.0,1.0,1.0,44.0,15.0,1.0,2942.0,124.0,9.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,Yes,4.0,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Higher,Male,TOTAL URBAN
101044.0,2101.0,1.0,1.0,44.0,21.0,1.0,2942.0,124.0,12.0,10.0,2005.0,KMA,Unable to enter due to violence / threats,,,,,,,1.0,6712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101044.0,2801.0,1.0,1.0,44.0,28.0,1.0,2942.0,124.0,12.0,10.0,2005.0,KMA,Completed,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3277.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to absorption pit,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Secondary,Female,TOTAL URBAN
101044.0,3201.0,1.0,1.0,44.0,32.0,1.0,2942.0,124.0,15.0,10.0,2005.0,KMA,Completed,4.0,5.0,3.0,3.0,0.0,0.0,1.0,3278.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,0.727543,Missing/DK,Female,TOTAL URBAN
101044.0,3601.0,1.0,1.0,44.0,36.0,1.0,2942.0,124.0,31.0,10.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,Add bleach/chlorine,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Primary,Female,TOTAL URBAN
101044.0,4201.0,1.0,1.0,44.0,42.0,1.0,2942.0,124.0,21.0,10.0,2005.0,KMA,Not at home,,,,,,,1.0,6713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101044.0,4501.0,1.0,1.0,44.0,45.0,1.0,2942.0,124.0,9.0,11.0,2005.0,KMA,Unable to enter due to violence / threats,,,,,,,1.0,6728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101044.0,5001.0,1.0,1.0,44.0,50.0,1.0,2942.0,124.0,21.0,10.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RADIO,1 MILE OR LESS,Bottled water,Piped into yard or plot,,,ALL THE TIME,No,,,,,,,,,Flush to septic tank,Yes,6.0,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Secondary,Male,TOTAL URBAN
101044.0,5501.0,1.0,1.0,44.0,55.0,1.0,2942.0,124.0,23.0,10.0,2005.0,KMA,Not at home,,,,,,,1.0,6714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101044.0,6101.0,1.0,1.0,44.0,61.0,1.0,2942.0,124.0,23.0,10.0,2005.0,KMA,Vacant,,,,,,,1.0,6715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
